Marker	Fig_lab	engraft	tUniq	rUniq	Treatment	Remission
BKODAF_3008405	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3008825	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3019940	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3029905	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3030430	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3030450	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3033840	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3033855	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3036665	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3038990	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3041205	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3044690	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3047730	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3049675	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3055825	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3056760	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3059725	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3067230	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3067725	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3067860	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069400	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069405	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069410	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069430	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069435	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069440	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069615	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3069990	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3074065	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3074515	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3078355	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_3081255	*pt10	1	FMT	F-Res	FMT	Res
